entry_date,exit_date,entry_price,exit_price,shares,pnl
1997-06-30,1997-07-21,21.32,22.28,4690.61,4485.05
1997-07-22,1997-08-08,21.71,22.45,4813.04,3579.46
1997-08-13,1997-08-14,23.2,23.37,4658.73,824.91
1997-08-15,1997-09-26,22.91,23.13,4752.34,1009.8
1997-09-29,1997-09-30,23.02,24.44,4774.27,6763.03
1997-10-02,1997-12-18,23.73,18.69,4916.79,-24747.64
1997-12-19,1997-12-24,18.45,19.23,4982.98,3888.66
1997-12-30,1998-01-27,18.76,20.11,5105.43,6881.91
1998-01-30,1998-03-11,20.22,20.36,5078.56,720.61
1998-03-12,1998-03-27,20.22,21.5,5114.2,6530.88
1998-03-31,1998-04-06,21.89,23.31,5023.02,7127.19
1998-04-08,1998-04-09,22.53,23.16,5197.05,3318.38
1998-04-13,1998-04-23,22.77,23.98,5286.1,6375.44
1998-04-27,1998-07-08,22.99,19.61,5514.51,-18609.93
1998-07-09,1998-09-11,19.61,20.54,5514.51,5093.88
1998-09-14,1998-09-18,18.76,19.33,6036.71,3431.5
1998-09-22,1998-09-24,19.33,20.64,6036.71,7935.48
1998-09-30,1998-10-02,21.32,23.48,5845.55,12668.56
1998-10-06,1998-10-08,22.24,25.22,6172.38,18420.56
1998-10-09,1998-11-06,24.16,24.76,6444.69,3892.49
1998-11-09,1999-01-11,23.8,22.77,6704.4,-6933.45
1999-01-13,1999-04-20,21.31,20.14,7163.3,-8410.08
1999-04-21,1999-04-28,19.89,20.81,7253.0,6709.09
1999-05-03,1999-05-04,20.92,21.67,7216.0,5391.29
1999-05-05,1999-05-06,21.77,23.84,7180.62,14817.24
1999-05-10,1999-06-24,20.56,19.36,8323.56,-10041.17
1999-06-25,1999-06-28,19.11,19.39,8432.26,2404.8
1999-06-29,1999-06-30,19.07,19.39,8574.11,2750.92
1999-07-07,1999-08-04,19.14,20.78,8685.88,14243.64
1999-08-06,1999-08-10,20.82,21.64,8671.01,7109.7
1999-08-11,1999-09-22,21.32,21.21,8801.51,-941.36
1999-09-24,1999-09-27,21.21,23.17,8801.5,17257.12
1999-09-29,1999-11-25,24.42,20.28,8351.8,-34537.2
1999-11-29,2000-02-07,19.64,20.0,8625.36,3080.22
2000-02-08,2000-02-10,18.32,19.18,9415.6,8069.76
2000-02-14,2000-03-22,18.93,17.57,9539.96,-12945.76
2000-03-23,2000-04-17,17.14,18.14,9778.46,9777.59
2000-04-18,2000-04-25,17.61,18.21,10075.98,6116.96
2000-04-26,2000-05-03,17.28,19.53,10617.26,23886.61
2000-05-05,2000-05-25,19.89,20.0,10426.64,1117.0
2000-05-26,2000-06-06,19.36,20.78,10772.91,15388.48
2000-06-08,2000-08-17,19.82,18.57,11297.01,-14119.87
2000-08-18,2000-11-10,17.82,15.14,11772.43,-31530.43
2000-11-13,2000-11-22,14.71,15.43,12115.31,8653.05
2000-11-24,2000-11-28,15.89,16.25,11761.38,4200.0
2000-11-30,2000-12-01,16.25,16.36,11761.38,1260.03
2000-12-06,2000-12-07,16.48,17.32,11674.71,9839.22
2000-12-12,2000-12-20,17.18,18.11,11771.8,10929.95
2000-12-22,2001-02-26,18.14,17.11,11748.62,-12167.05
2001-03-01,2001-03-02,17.71,17.68,11345.95,-405.27
2001-03-05,2001-03-06,17.46,18.0,11485.16,6152.24
2001-03-07,2001-03-08,18.03,18.03,11462.42,-0.05
2001-03-12,2001-04-17,18.46,17.43,11196.36,-11595.2
2001-04-18,2001-04-19,17.07,17.78,11430.6,8163.93
2001-04-23,2001-04-27,17.36,18.17,11712.83,9536.65
2001-05-01,2001-05-02,17.93,18.32,11871.49,4663.45
2001-05-04,2001-05-10,17.89,19.03,12155.84,13890.98
2001-05-14,2001-05-17,19.0,19.89,12178.69,10872.77
2001-05-23,2001-07-25,19.71,17.06,12289.0,-32650.57
2001-07-26,2001-08-10,16.89,17.66,12408.51,9571.4
2001-08-13,2001-08-14,17.26,17.57,12696.01,3899.14
2001-08-15,2001-08-16,17.5,18.0,12747.83,6373.27
2001-08-21,2001-09-13,18.21,19.11,12597.86,11247.04
