entry_date,exit_date,entry_price,exit_price,shares,pnl
1997-11-21,1997-12-22,150.29,148.51,665.38,-1182.49
1997-12-23,1997-12-29,151.31,149.53,653.1,-1160.59
1997-12-31,1998-01-01,150.04,149.27,650.89,-495.72
1998-01-02,1998-01-05,150.04,150.54,647.59,328.81
1998-01-07,1998-01-09,149.02,149.02,654.2,-0.0
1998-02-05,1998-02-06,147.65,147.9,660.29,168.06
1998-02-09,1998-08-05,148.16,201.03,659.15,34848.27
1998-11-06,1998-11-09,200.49,199.98,660.9,-338.05
1999-01-07,1999-01-12,235.27,227.09,561.76,-4597.19
1999-03-16,1999-03-17,220.86,219.84,577.6,-591.98
1999-04-15,1999-05-17,218.81,228.59,580.3,5672.03
1999-08-24,1999-08-25,231.76,234.33,572.37,1473.94
1999-08-26,1999-09-15,241.54,226.61,555.29,-8293.42
1999-09-17,1999-09-20,226.61,228.15,555.29,857.94
1999-10-01,1999-10-29,249.78,259.63,507.2,4997.52
1999-11-01,1999-11-02,267.89,267.89,491.57,0.02
1999-11-03,2000-01-03,269.44,306.09,488.74,17911.45
2000-01-07,2000-01-17,316.93,319.56,472.03,1239.66
2000-02-15,2000-02-18,320.59,316.97,470.5,-1703.03
2000-03-02,2000-03-03,310.25,310.25,480.7,-0.01
2000-03-23,2000-03-27,351.1,339.2,424.77,-5051.76
2000-03-29,2000-04-14,382.64,374.88,376.55,-2920.6
2000-07-18,2000-08-11,473.08,502.13,298.39,8667.91
2001-04-03,2001-05-01,443.24,466.13,338.03,7737.76
2001-05-02,2001-05-04,460.93,455.73,341.85,-1778.45
2001-05-07,2001-06-26,457.81,470.0,340.3,4150.35
2001-07-04,2001-07-06,482.51,463.54,331.47,-6289.78
2001-07-10,2001-07-12,479.18,466.04,320.65,-4212.31
2001-07-13,2001-07-23,474.38,473.21,315.02,-368.94
2001-07-24,2001-08-01,471.12,455.87,316.41,-4825.73
2001-09-07,2001-09-12,425.16,386.51,339.27,-13113.06
2001-10-17,2001-10-18,249.5,235.87,525.58,-7162.58
2001-10-25,2001-10-30,244.89,233.98,506.23,-5519.15
2001-11-14,2002-01-16,262.08,304.96,451.96,19379.54
2002-01-18,2002-01-22,318.63,290.87,432.57,-12008.81
2002-02-08,2002-02-11,307.06,315.47,409.75,3447.12
2002-02-12,2002-02-15,310.22,287.08,416.7,-9640.22
2002-03-15,2002-03-27,302.86,283.72,395.0,-7559.76
2002-03-28,2002-04-18,298.02,296.97,376.04,-395.52
2002-04-19,2002-04-29,298.65,273.41,373.92,-9437.0
2002-05-06,2002-08-15,305.8,170.52,334.32,-45225.93
2002-08-23,2002-08-26,147.22,150.4,387.23,1230.41
2002-10-21,2002-12-09,90.16,95.51,645.97,3458.33
2002-12-11,2003-01-31,105.79,109.74,583.2,2303.9
2003-04-03,2003-10-03,69.64,129.21,919.04,54752.04
2003-10-07,2004-02-20,128.56,149.14,923.71,19007.04
2004-02-23,2004-02-24,146.06,145.18,943.16,-828.67
2004-04-26,2004-04-27,142.77,141.67,959.12,-1053.32
2004-10-04,2004-10-06,66.32,66.54,2048.91,454.38
2004-10-15,2004-10-20,62.41,60.4,2184.45,-4397.88
2004-10-21,2004-10-22,60.17,59.73,2192.57,-980.87
2004-11-08,2004-11-11,61.52,61.52,2128.78,-0.04
2004-11-22,2004-11-23,55.7,56.59,2351.07,2103.67
2004-12-03,2004-12-09,60.62,57.04,2194.91,-7855.78
2004-12-13,2004-12-14,41.83,49.21,2993.05,22094.34
2004-12-29,2004-12-30,49.21,50.33,2993.05,3347.69
2005-01-12,2005-08-26,49.72,68.48,3029.64,56833.71
2005-09-26,2005-09-28,68.93,66.45,3009.78,-7482.81
2005-11-22,2005-12-01,60.12,55.15,3326.6,-16540.86
2005-12-19,2005-12-20,61.93,60.57,2962.37,-4017.24
2006-01-03,2006-01-16,62.61,64.64,2866.12,5830.08
2006-03-30,2006-05-16,74.58,84.08,2483.97,23579.38
2006-06-28,2006-09-07,71.19,74.36,2933.45,9282.1
2007-01-03,2007-05-29,88.37,116.4,2468.3,69176.29
2007-05-30,2007-07-04,122.05,143.52,2354.03,50544.23
2007-09-14,2007-09-18,142.39,140.13,2372.71,-5362.79
2008-02-14,2008-03-14,126.12,126.12,2636.35,-0.02
2008-04-02,2008-06-30,127.25,163.41,2612.93,94489.7
2008-07-10,2008-07-14,170.64,171.77,2502.19,2827.5
2008-07-15,2008-07-16,161.6,156.51,2659.67,-13528.55
2008-07-18,2008-07-23,163.32,161.05,2548.85,-5781.59
2008-07-24,2008-07-25,162.87,158.1,2520.45,-12006.05
2008-07-28,2008-07-30,156.29,155.15,2549.71,-2891.78
2008-07-31,2008-09-08,163.32,176.02,2422.23,30768.39
2009-03-19,2009-03-20,68.87,66.58,6191.27,-14117.93
2009-03-24,2009-06-04,67.27,82.27,6128.31,91920.35
2009-06-23,2009-10-29,76.72,100.55,6571.32,156594.17
2009-11-04,2009-11-09,107.8,108.97,6129.43,7166.53
2009-11-11,2010-02-10,107.57,126.16,6209.38,115472.73
2010-02-12,2010-02-16,129.22,127.57,6062.61,-9970.83
2010-02-23,2010-02-24,126.4,126.16,6118.96,-1437.47
2010-07-07,2010-07-09,117.48,114.66,6571.27,-18527.75
2010-09-23,2010-09-24,115.26,115.97,6537.12,4632.05
2010-12-22,2010-12-23,114.39,114.39,6627.04,-0.07
2010-12-29,2011-05-04,114.63,162.61,6613.32,317301.75
2011-05-10,2011-05-25,165.47,156.51,6498.97,-58270.47
2011-06-02,2011-06-08,167.51,165.12,6071.89,-14530.51
2011-10-31,2011-11-07,105.96,99.94,9462.19,-56965.77
2011-11-08,2011-11-10,102.83,101.38,9196.27,-13287.44
2011-11-15,2011-11-18,104.51,99.94,8920.81,-40816.69
2011-12-28,2012-02-23,94.16,113.19,9468.38,180229.88
2012-02-24,2012-03-02,117.53,102.36,9119.14,-138361.84
2012-04-03,2012-04-05,101.64,97.31,9183.08,-39812.9
2012-04-13,2012-04-25,96.58,97.79,9251.78,11141.98
2012-04-26,2012-09-06,97.55,82.42,9274.62,-140264.05
2012-09-10,2012-10-12,86.55,89.22,8832.98,23640.94
2012-10-18,2012-11-02,91.89,90.68,8576.61,-10397.19
2012-12-11,2013-04-01,81.22,97.73,9575.08,158056.32
2013-04-03,2013-04-05,96.76,94.58,9671.07,-21107.25
2013-04-08,2013-04-09,95.79,97.97,9548.65,20840.2
2013-04-10,2013-04-12,99.43,97.73,9408.92,-15971.8
2013-04-24,2013-06-21,94.82,110.43,9697.68,151419.19
2013-07-02,2013-07-03,115.31,113.36,9287.63,-18113.14
2013-07-10,2013-08-01,117.5,123.11,8960.06,50238.64
2013-09-20,2013-09-23,118.73,116.29,9290.5,-22650.21
2013-09-25,2013-10-01,119.22,116.78,9062.51,-22094.48
2014-03-18,2014-04-11,101.49,98.06,10427.66,-35788.61
2014-06-24,2014-07-10,95.0,92.78,10763.58,-23903.36
2014-08-08,2014-12-23,93.03,99.0,10735.03,64139.38
2014-12-30,2015-01-16,101.25,77.5,10496.47,-249291.16
2015-03-16,2015-04-28,62.0,61.25,13120.59,-9840.44
2015-05-27,2015-05-28,61.75,63.0,13014.35,16267.93
2015-06-03,2015-06-05,65.5,63.75,12517.62,-21905.83
2015-09-11,2015-10-09,48.75,39.5,16369.19,-151415.02
2015-10-14,2015-10-19,43.25,40.75,14949.9,-37374.74
2015-10-23,2015-10-27,39.0,36.25,15620.73,-42957.0
2015-10-29,2015-10-30,41.75,34.0,13562.91,-105112.52
2015-11-02,2016-02-08,35.5,20.25,12989.83,-198094.84
2016-02-18,2016-09-19,28.5,45.5,9229.61,156903.42
2016-10-27,2016-10-31,46.25,46.5,9079.94,2269.99
2016-12-29,2017-02-08,54.25,66.0,7782.81,91448.0
2017-04-10,2017-05-09,53.25,52.5,9646.3,-7234.72
2017-05-12,2017-05-15,55.0,53.75,9207.83,-11509.79
2017-05-31,2017-06-12,61.25,58.75,8080.34,-20200.85
2017-10-18,2018-01-04,68.5,72.5,6930.22,27720.88
2018-01-15,2018-03-19,76.5,93.75,6567.85,113295.49
2018-05-31,2018-06-05,122.5,118.25,5026.42,-21362.28
2018-06-19,2018-06-21,128.75,133.75,4616.5,23082.49
2019-02-15,2019-03-21,62.25,70.25,9918.98,79351.85
2019-03-22,2019-03-25,70.25,67.25,9918.98,-29756.94
2019-03-27,2019-03-29,67.25,66.5,9918.98,-7439.24
2019-04-23,2019-04-26,68.25,61.0,9664.65,-70068.7
2019-05-28,2019-05-31,53.25,50.5,11071.24,-30445.91
2019-06-03,2019-12-06,50.75,48.75,11016.7,-22033.4
2020-01-06,2020-01-07,48.25,47.5,11130.87,-8348.15
2020-01-08,2020-01-09,48.0,46.0,11014.92,-22029.84
2020-02-11,2020-02-12,37.25,36.0,13602.32,-17002.89
2020-02-13,2020-03-02,39.5,25.5,12397.05,-173558.66
2020-03-03,2020-03-04,27.5,26.25,11495.44,-14369.3
2020-04-17,2020-06-25,11.75,11.25,25681.31,-12840.66
2020-06-26,2020-07-06,11.25,11.0,25681.31,-6420.33
2020-07-07,2020-07-08,11.0,10.88,25681.31,-3210.16
2020-07-13,2020-07-14,10.88,10.62,25681.31,-6420.33
2020-07-21,2020-08-18,11.12,10.38,24527.09,-18395.32
2020-08-26,2020-08-27,10.5,10.12,24235.11,-9088.16
2020-09-10,2020-09-24,10.25,9.0,23939.55,-29924.44
2020-10-23,2021-06-16,8.25,26.75,26115.88,483143.75
2021-06-23,2021-06-30,28.0,30.0,24949.99,49899.98
2021-07-05,2021-07-07,33.0,33.75,22681.81,17011.36
2022-06-08,2022-06-14,30.0,26.43,25517.04,-91095.81
2022-07-27,2022-09-26,20.66,25.93,32643.53,172031.4
2022-09-27,2022-09-30,27.75,25.0,30502.58,-83882.1
2022-10-04,2022-10-11,27.0,27.5,28243.13,14121.57
