entry_date,exit_date,entry_price,exit_price,shares,pnl
1997-06-26,1997-07-02,7.32,7.38,13670.08,905.79
1997-07-11,1997-07-18,7.34,7.43,13744.09,1274.93
1997-08-08,1997-08-12,7.29,7.2,14018.97,-1300.54
1997-08-21,1997-08-26,7.06,6.96,14281.99,-1514.14
1997-09-03,1997-09-08,7.02,7.06,14147.25,562.43
1997-09-09,1997-10-03,7.14,7.23,13989.77,1270.34
1997-10-22,1997-11-18,7.34,7.5,13785.53,2216.0
1997-12-04,1997-12-30,8.37,8.35,12351.84,-330.9
1998-01-14,1998-02-06,8.67,8.68,11893.66,159.38
1998-03-11,1998-04-23,8.55,8.54,12080.08,-34.05
1998-04-30,1998-06-24,8.65,8.79,11929.08,1612.66
1998-07-06,1998-07-20,7.4,6.96,14171.91,-6188.73
1998-08-10,1998-08-17,6.26,6.45,15746.58,3008.5
1998-08-18,1998-09-30,6.55,6.26,15516.94,-4548.02
1998-10-07,1998-11-10,6.15,6.16,15795.9,218.16
1998-11-30,1998-12-23,6.33,6.2,15382.03,-1912.26
1999-01-13,1999-02-08,6.05,5.75,15768.33,-4791.73
1999-02-09,1999-02-15,5.62,5.8,16117.03,2894.15
1999-03-08,1999-03-09,5.59,5.59,16713.96,0.01
1999-03-12,1999-03-26,5.47,5.41,17093.83,-944.4
1999-04-20,1999-05-11,5.38,5.49,17200.67,1928.29
1999-06-01,1999-06-14,5.73,5.59,16485.73,-2310.18
1999-07-14,1999-07-15,5.82,5.84,15825.36,224.82
1999-07-19,1999-08-18,5.77,5.75,16020.25,-227.66
1999-09-02,1999-09-10,5.98,6.11,15411.4,1970.47
1999-09-14,1999-09-17,6.02,6.0,15629.48,-444.1
1999-10-13,1999-10-18,5.5,5.5,17024.34,0.0
1999-10-20,1999-10-25,5.5,5.42,17024.34,-1471.77
1999-10-27,1999-11-22,5.29,4.87,17441.84,-7287.7
1999-12-10,1999-12-23,3.53,3.59,24062.62,1386.76
2000-01-25,2000-02-09,3.12,3.23,27639.13,2850.45
2000-02-10,2000-02-11,3.05,3.06,29241.42,430.89
2000-03-06,2000-03-20,3.52,3.42,25448.61,-2624.49
2000-03-23,2000-03-24,3.45,3.42,25231.11,-743.42
2000-04-17,2000-05-02,3.25,3.15,26495.63,-2781.92
2000-05-16,2000-06-06,3.19,3.57,26122.46,9795.5
2000-07-11,2000-07-21,3.46,3.48,26926.05,410.81
2000-07-27,2000-08-02,3.54,3.51,26461.79,-807.53
2000-08-04,2000-08-14,3.75,4.13,24740.7,9436.66
2000-08-15,2000-08-16,4.12,4.12,24832.32,-0.03
2000-08-17,2000-08-21,4.13,4.27,24740.68,3397.2
2000-09-20,2000-09-22,4.2,4.18,25190.51,-384.34
2000-10-02,2000-10-04,4.37,4.33,24124.98,-746.83
2000-10-06,2000-10-16,4.29,4.21,24386.27,-1887.31
2000-10-23,2000-11-08,4.1,4.63,25030.44,13172.98
2000-11-13,2000-11-14,4.55,4.57,25456.13,394.06
2000-12-01,2000-12-18,4.74,5.28,24541.04,13295.29
2001-02-01,2001-02-07,5.02,5.25,25828.68,5996.9
2001-02-13,2001-02-14,5.3,5.31,25587.12,237.52
2001-02-23,2001-02-27,5.57,5.58,24391.72,377.57
2001-02-28,2001-03-09,5.6,5.65,24297.38,1128.24
2001-03-14,2001-03-21,5.77,5.94,23776.25,4048.27
2001-04-06,2001-04-27,5.86,5.84,24117.47,-377.81
2001-05-02,2001-05-10,5.64,5.64,25002.27,78.26
2001-05-11,2001-05-25,5.76,5.83,24498.68,1765.74
2001-06-18,2001-07-09,5.82,5.95,24551.48,3268.26
2001-07-10,2001-07-13,5.97,5.93,24460.21,-1008.37
2001-07-26,2001-08-01,5.99,6.04,24201.38,1151.2
2001-08-15,2001-08-29,6.33,6.26,23098.0,-1684.64
2001-10-26,2001-11-12,6.41,6.46,22536.21,1011.6
2001-11-13,2001-11-14,6.48,6.47,22469.27,-216.14
2001-12-12,2002-01-02,6.22,6.36,23373.14,3447.34
2002-01-03,2002-01-07,6.28,6.32,23671.27,758.93
2002-01-16,2002-01-17,6.25,6.28,23914.05,766.72
2002-01-22,2002-01-24,6.28,6.32,23914.04,920.12
2002-01-29,2002-02-12,6.33,6.65,23877.72,7655.9
2002-02-28,2002-03-28,7.05,7.06,22521.03,146.11
2002-04-19,2002-05-16,7.01,7.54,22698.29,12146.39
2002-06-04,2002-06-18,7.23,7.52,23675.87,6987.27
2002-06-27,2002-06-28,7.6,7.54,23440.06,-1383.3
2002-07-02,2002-07-11,7.6,7.58,23258.05,-457.5
2002-07-15,2002-08-07,7.31,7.5,24113.28,4506.29
2002-09-04,2002-09-11,7.49,7.45,24155.53,-871.19
2002-09-16,2002-09-18,7.41,7.41,24283.78,79.66
2002-09-20,2002-09-23,7.28,7.32,24743.41,1216.87
2002-09-24,2002-10-15,7.29,7.59,24843.51,7345.06
2002-10-18,2002-10-21,7.6,7.62,24821.83,493.64
2002-10-22,2002-10-23,7.63,7.7,24767.95,1559.9
